127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
127,Thomas Kithier F,2,19.5,8.5,3.0,2.0,0.0,0.0,1.0,100.0,100.0,0.0,,12721958530200000101000100000
127,Gabe Brown F,2,17.0,7.5,1.5,0.5,0.0,0.0,0.5,42.9,100.0,33.3,,12721707515050000054291000333
127,Kyle Ahrens G,2,17.0,3.5,2.5,0.5,0.5,0.0,0.0,33.3,0.0,25.0,,127217035250505000033300250
127,Conner George G,1,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,,1271403040100000000075000
127,Rocket Watts G,2,22.5,2.5,1.0,2.0,1.0,0.0,1.5,15.4,0.0,11.1,,127222525102010001515400111
127,Braden Burke F,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,12712020000000000010000000
127,Brock Washington G,1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,,1271202030000000105000000
127,Julius Marble F,2,5.0,2.0,1.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,,12725020100000000510000000
127,Jack Hoiberg G,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127215000000000000000000
127,Foster Loyer G,2,7.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,127275000010000005000000
127,Steven Izzo G,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,127120000000000000000000
127,Malik Hall F,2,11.0,0.0,3.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,,1272110003015050000000000
127,Total,2,,81.0,39.0,19.5,5.5,4.5,10.0,46.2,78.9,23.5,,12728103901955545100462789235
127127,Name,GP,MIN,PTS,REB,AST,STL,BLK,TO,FG%,FT%,3P%,,1273
127,Cassius Winston G,2,29.0,19.0,1.5,7.5,1.0,0.0,2.0,42.9,90.9,26.7,,12722901901575100020429909267
127,Aaron Henry F,2,23.5,12.5,2.0,2.0,2.0,1.5,0.5,69.2,100.0,60.0,,127223512520202015056921000600
127,Xavier Tillman F,2,27.0,12.0,8.5,1.5,0.0,1.0,1.5,50.0,87.5,20.0,,12722701208515001015500875200
127,Marcus Bingham Jr. F,2,14.5,10.0,6.0,0.5,0.5,2.0,1.0,53.3,44.4,0.0,,1272145100600505201053344400
